{'data_dir': './data/', 'data': 'tky_category', 'gpu': 0, 'batch_size': 128, 'hidden_size': 130, 'user_poi_size': 300, 'lr': 0.0001, 'wd': 1e-06, 'epochs': 100, 'kg_lambda': 1e-05, 'td': 0.4, 'layers': 2, 'aggregator_type': 'bi-interaction'}
	 rec@1,rec@5,rec@10,ndcg@1,ndcg@5,ndcg@10 
epoch58	 Scores:	[0.24426433380505166, 0.44448732793001416, 0.5182469231099104, 0.24426433380505166, 0.350912741648398, 0.3748441843213481]
epoch59	 Scores:	[0.24460740168960934, 0.44487327930014153, 0.5204339808739654, 0.24460740168960934, 0.3514797975840988, 0.37593595338987273]
epoch60	 Scores:	[0.24602255671340967, 0.4465028517517904, 0.5204768643595351, 0.24602255671340967, 0.3526489450317025, 0.37658688186660816]
epoch61	 Scores:	[0.24477893563188816, 0.44470174535786267, 0.5187615249367469, 0.24477893563188816, 0.3514712198264069, 0.37547644785958423]
epoch62	 Scores:	[0.24413568334834254, 0.4442729105021656, 0.5186328744800377, 0.24413568334834254, 0.3510389330229661, 0.3751807143889776]
epoch63	 Scores:	[0.24533642094429436, 0.44500192975685066, 0.5188901753934559, 0.24533642094429436, 0.35187585358663154, 0.37588167814989626]
epoch64	 Scores:	[0.2468802264248038, 0.4443157939877353, 0.5192332432780137, 0.2468802264248038, 0.3523767681532119, 0.37675165253713766]
epoch65	 Scores:	[0.24653715854024616, 0.445387881126978, 0.5199193790471289, 0.24653715854024616, 0.3527397624215018, 0.37686799321101877]
epoch66	 Scores:	[0.2467944594536644, 0.4468030361507783, 0.521377417556499, 0.2467944594536644, 0.35324893538710467, 0.37743812298298723]
epoch67	 Scores:	[0.24473605214631844, 0.44568806552596596, 0.5186757579656075, 0.24473605214631844, 0.35193939413574415, 0.375626007993366]
epoch68	 Scores:	[0.24602255671340967, 0.44641708478065095, 0.5205626313306746, 0.24602255671340967, 0.35251550982350016, 0.3765398140227828]
epoch69	 Scores:	[0.24696599339594322, 0.44551653158368715, 0.5218491358977658, 0.24696599339594322, 0.35307586335717145, 0.3778570815692203]
epoch70	 Scores:	[0.2461940906556885, 0.448175307689009, 0.521806252412196, 0.2461940906556885, 0.3539046623777508, 0.37777633598781707]
epoch71	 Scores:	[0.2456366053432823, 0.4470174535786269, 0.5224923881813114, 0.2456366053432823, 0.35292621914852945, 0.3774053369502754]
epoch72	 Scores:	[0.24902440070328916, 0.44774647283331187, 0.5218491358977658, 0.24902440070328916, 0.3548302298336137, 0.3787946526747928]
epoch73	 Scores:	[0.2473948282516403, 0.4474891719198936, 0.5215060680132081, 0.2473948282516403, 0.3540584829696685, 0.3780609371462098]
epoch74	 Scores:	[0.24962476950126505, 0.4483468416312878, 0.5219349028689052, 0.24962476950126505, 0.3557859789638075, 0.3796379031342523]
epoch75	 Scores:	[0.24906728418885887, 0.44813242420343924, 0.5227925725802993, 0.24906728418885887, 0.3555762244001712, 0.3798272313370463]
epoch76	 Scores:	[0.24893863373214975, 0.4483039581457181, 0.5242506110896694, 0.24893863373214975, 0.355171723902764, 0.3797935871913369]
epoch77	 Scores:	[0.24975341995797418, 0.4479608902611604, 0.523864659719542, 0.24975341995797418, 0.35554406057326954, 0.3801348180315078]
epoch78	 Scores:	[0.2487670997898709, 0.4495046957416699, 0.5243792615463785, 0.2487670997898709, 0.35597621825176756, 0.3801923442389412]
epoch79	 Scores:	[0.24898151721771947, 0.44911874437154253, 0.5256228826279, 0.24898151721771947, 0.3556955830352651, 0.38049869422145305]
epoch80	 Scores:	[0.24941035207341652, 0.4493760452849608, 0.526051717483597, 0.24941035207341652, 0.35640884533671674, 0.38126002711952905]
epoch81	 Scores:	[0.24996783738582273, 0.4507912003087611, 0.5245507954886574, 0.24996783738582273, 0.3571810898498331, 0.38104826765017774]
epoch82	 Scores:	[0.24941035207341652, 0.4497191131695184, 0.5246794459453664, 0.24941035207341652, 0.356567655481243, 0.3808291450375871]
epoch83	 Scores:	[0.24906728418885887, 0.44993353059736696, 0.5249796303443544, 0.24906728418885887, 0.35643570033919575, 0.3807337145781946]
epoch84	 Scores:	[0.2503537887559501, 0.4502337149963549, 0.5222350872678931, 0.2503537887559501, 0.3571823616086102, 0.38046434413416524]
epoch85	 Scores:	[0.25095415755392597, 0.45233500578927055, 0.5248509798876453, 0.25095415755392597, 0.35848214636907466, 0.3819735065540939]
epoch86	 Scores:	[0.2504395557270895, 0.45164887002015525, 0.5278957073630944, 0.2504395557270895, 0.35791150366764757, 0.3825873880301207]
epoch87	 Scores:	[0.24962476950126505, 0.45096273425103994, 0.5243363780608088, 0.24962476950126505, 0.35736176369173434, 0.38114791280917915]
epoch88	 Scores:	[0.2506968566405077, 0.45130580213559757, 0.5265663193104335, 0.2506968566405077, 0.35813335006784053, 0.3825699413685099]
epoch89	 Scores:	[0.25387023457266605, 0.45169175350572494, 0.5275097559929671, 0.25387023457266605, 0.35962241364701164, 0.38422975210362104]
epoch90	 Scores:	[0.2529267978901325, 0.4500621810540761, 0.5254084652000515, 0.2529267978901325, 0.35860356314211417, 0.38307613700212695]
epoch91	 Scores:	[0.25065397315493804, 0.45186328744800375, 0.5276384064496762, 0.25065397315493804, 0.35820013216203134, 0.3827848479778087]
epoch92	 Scores:	[0.25262661349114457, 0.4534070929285132, 0.5262661349114456, 0.25262661349114457, 0.35993260780884323, 0.3835734549432989]
epoch93	 Scores:	[0.2534842832025387, 0.45284960761610704, 0.5278099403919551, 0.2534842832025387, 0.3600721866954065, 0.38430872262719235]
epoch94	 Scores:	[0.25314121531798106, 0.4527209571593979, 0.5284103091899309, 0.25314121531798106, 0.36001195896853044, 0.3845136804379289]
epoch95	 Scores:	[0.25249796303443545, 0.4527638406449676, 0.5260088339980273, 0.25249796303443545, 0.3594417032419334, 0.3832020922897325]
epoch96	 Scores:	[0.2549423217119087, 0.45289249110167673, 0.5270380376517003, 0.2549423217119087, 0.3609589662699205, 0.3849965478744485]
epoch97	 Scores:	[0.2560144088511514, 0.4527638406449676, 0.5272953385651186, 0.2560144088511514, 0.36108650292034183, 0.38522766510343526]
epoch98	 Scores:	[0.2556713409665938, 0.45435052961104677, 0.5285389596466401, 0.2556713409665938, 0.36152501539890813, 0.38548465754414835]
epoch99	 Scores:	[0.25442771988507223, 0.4532784424718041, 0.5283674257043612, 0.25442771988507223, 0.3607692808422313, 0.38506937004549524]
best result' Scores:	[0.2635866490665661, 0.4552517442956817, 0.5241561380350744, 0.2635866490665661, 0.36559966341414035, 0.3879018046236823]
